RowId,Manufacter,Series,Model,MinCsg,RefFreq,RefStg,Min,BEP,Max,AOF,H0,H1,H2,H3,H4,H5,H6,P0,P1,P2,P3,P4,P5,P6
1,Example,400,4.0-330,4.5,60,1,216,420.0,555,660,2.96695E+01,-3.93314E-03,-9.02737E-05,4.43599E-07,-1.00413E-09,6.03310E-13,0.00000E+00,1.06094E-01,6.38047E-04,-5.56014E-06,2.18256E-08,-3.78797E-11,2.37681E-14,0.00000E+00
2,Example,400,4.0-450,4.5,60,1,350,480.0,550,682,2.82007E+01,-1.12568E-04,-3.77194E-05,-1.27842E-07,3.87544E-10,-3.64522E-13,0.00000E+00,1.03700E-01,-1.70149E-04,2.51732E-06,-8.82772E-09,1.24866E-11,-6.49356E-15,0.00000E+00
3,Example,400,4.0-650,4.5,60,1,415,680.0,867,1275,3.18019E+01,-1.33120E-02,1.00196E-04,-2.36988E-07,1.89166E-10,-5.52657E-14,0.00000E+00,1.38996E-01,-5.89634E-05,6.80579E-07,-9.41975E-10,5.74502E-13,-1.37400E-16,0.00000E+00
4,Example,400,4.0-850,4.5,60,1,640,975.0,1200,1811.45414,3.36923E+01,1.01770E-02,-2.15104E-05,2.28879E-08,-2.05217E-11,5.30000E-15,0.00000E+00,1.90007E-01,5.81737E-04,-1.56181E-06,2.18459E-09,-1.31029E-12,2.77421E-16,0.00000E+00
5,Example,400,4.0-1200,4.5,60,1,695,1200.0,1585,2185.87481,3.23615E+01,-2.25965E-03,1.36543E-05,-1.48595E-08,2.68693E-12,2.38651E-17,0.00000E+00,2.14984E-01,1.74112E-04,-2.97764E-08,1.14329E-10,-1.10094E-13,2.66922E-17,0.00000E+00
6,Example,400,4.0-1750,4.5,60,1,1200,1800.0,2100,2948.02443,2.95281E+01,-5.44486E-03,3.23828E-06,-6.73672E-10,-1.10785E-12,2.66393E-16,0.00000E+00,2.58681E-01,2.03553E-05,2.06511E-08,1.06127E-10,-8.73546E-14,1.69653E-17,0.00000E+00
7,Example,400,4.0-2200,4.5,60,1,1434,2200.0,2792,3946.69435,3.31993E+01,3.70887E-03,-1.28741E-05,8.95462E-09,-2.76402E-12,2.84916E-16,0.00000E+00,4.05990E-01,4.36373E-04,-6.91527E-07,4.69550E-10,-1.33803E-13,1.35637E-17,0.00000E+00
8,Example,510,5.1-1600,5.5,60,1,1200,1770.0,2000,2699.52899,5.76374E+01,-5.12968E-03,4.93595E-06,-7.08101E-09,2.75172E-12,-6.04011E-16,0.00000E+00,5.01112E-01,1.24133E-04,2.56363E-07,-1.08699E-10,-2.46725E-14,1.27618E-17,0.00000E+00
9,Example,530,5.3-2600,5.625,60,1,1735,2600.0,3100,3903.26579,6.32971E+01,5.27820E-03,-2.22374E-05,1.58250E-08,-4.49977E-12,3.95468E-16,0.00000E+00,8.40559E-01,3.00175E-05,5.25474E-09,1.34316E-10,-6.54210E-14,8.40344E-18,0.00000E+00
10,Example,530,5.3-3600,5.625,60,1,2400,3600.0,4700,5802.42058,6.37921E+01,3.01203E-03,-4.47864E-06,1.71821E-09,-3.56579E-13,2.09892E-17,0.00000E+00,1.15803E+00,1.93328E-04,-1.67500E-08,2.21290E-11,-6.03783E-15,3.71544E-19,0.00000E+00
11,Example,530,5.3-5500,5.625,60,1,3470,5800.0,7169,9599.9605,6.19995E+01,2.09441E-03,-4.07865E-06,1.35174E-09,-1.83754E-13,8.07678E-18,0.00000E+00,1.59786E+00,4.43337E-04,-1.98916E-07,6.07398E-11,-7.73348E-15,3.30788E-19,0.00000E+00
12,Example,530,5.3-7000,5.625,60,1,4000,7500.0,9600,12826.8797,6.33075E+01,-3.76989E-03,3.72873E-07,4.68033E-11,-1.56770E-14,7.17983E-19,0.00000E+00,2.22490E+00,-9.87016E-05,8.02977E-08,-5.58181E-12,-2.30934E-16,2.02369E-20,0.00000E+00
13,Example,530,5.3-10000,5.625,60,1,8000,9250.0,12000,16355.3867,4.34595E+01,-4.45305E-03,1.37513E-06,-1.80634E-10,8.81984E-15,-1.53205E-19,0.00000E+00,2.38587E+00,-1.42333E-05,-1.26425E-09,8.10776E-12,-1.03969E-15,3.47665E-20,0.00000E+00
14,General Electric,538,TE11000S538,5.625,60,1,7900,11000.0,14000,20000,4.99924E+01,-2.91812E-03,5.34000E-08,1.14000E-10,-1.68000E-14,8.30000E-19,-1.39000E-23,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
15,General Electric,538,TE7000S538,5.625,60,1,4000,7000.0,9700,13200,5.97050E+01,-6.03057E-03,1.91000E-06,-3.06000E-10,2.07000E-14,-8.39000E-19,1.88000E-23,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
16,Reda,538,SN8500,5.625,60,1,6000,8500.0,11000,13600,6.30000E+01,-8.44000E-03,3.64000E-06,-1.07000E-09,1.55000E-13,-1.06000E-17,2.66000E-22,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
17,Centrilift,538,P100-SSD,5.625,60,1,2500,7250.0,12000,16000,5.53842E+01,2.39181E-03,-1.30000E-06,1.86000E-10,-1.22000E-14,2.40000E-19,1.81000E-24,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
