pressure,bo,rs,muo,co,rhoo
2570.000,1.126,287.000,5.796,7.16E-06,0.839
2500.000,1.127,287.000,5.750,7.01E-06,0.838
2400.000,1.128,287.000,,7.01E-06,0.838
2300.000,1.128,287.000,,8.00E-06,0.837
2200.000,1.129,287.000,,1.15E-05,0.836
2174.000,1.133,287.000,5.538,,0.836
1850.000,1.121,242.000,6.888,,0.841
1550.000,1.107,205.000,8.095,,0.846
1250.000,1.094,167.000,9.306,,0.852
950.000,1.081,128.000,10.595,,0.858
650.000,1.067,88.000,12.093,,0.864
350.000,1.052,45.000,14.088,,0.871
150.000,1.041,19.000,16.102,,0.876
80.000,1.038,8.000,17.131,,0.877
0.000,1.027,0.000,19.135,,0.884
