ROP,CAL,GR,SP,RS,RM,RD,PEF,NPHI,RHOB,DCOR,PHIS,DTC
ROPA,ACAL,CGR,HSP,AF10,AF30,A22H,2PEF,CN,2DPS,ALDCLC,ACPD,AC
,C1,ECGR,PCH1,AF20,AHF30,A22H_,HPEDN,CNC,APSC,,ACPL,ACCO
,C13,EHGR,SP,AFRX,AHO30,A22H_UNC,HPEF8,CNCS,APSU,,ACPS,ACL
,C13A,G,SPBR,AHF10,AHT30,A28H,PDPE,CNCSGS,DDPP,,PORA,ACN
,C13-A,GAB,SPC,AHF20,AIT30,A28H_,PE,CNCSS,DEPO,,RPHI,DT
,C13H,GAM,SPCG,AHO10,AO30,A28H_UNC,PE2,CNCSSQH,DNPH,,SPHI,DT24
,C13I,GAM1,SPD,AHO20,ASF30,A34H,PE2QH,CNSS,DPH8,,SPSS,DT24-A
,C13L,GAPI,SPDF,AHSFI,ASO30,A34H_,PEDF,FNPS,DPHI,,TPHI,DT24AQI
,C13M,GGCE,SPDH,AHT10,AST30,A34H_UNC,PEDN,FPSC,DPHI_,,,DT24QI
,C13P,GR,SPH,AHT20,AT30,AF60,PEF,HASC,DPHI_SAN,,,DT24SQA
,C13Z,GR,SPP,AHTRX,HILM,AF90,PEF_SLDT,HHNPO,DPHI_SLDT,,,DT34
,C2,GR_AR,SPSB,AIT10,HLLS,AFRT,PEF_SLDT_HR,HNPHI,DPHI_SLDT_HR,,,DT35
,C24,GR_ARC_FILT,SSPK,AIT20,HRL3,AHF60,PEF8,HNPO,DPHIS,,,DT41
,C24A,GR_STGC,SPS,AO10,ILM,AHF90,PEFA,HNPO_SAN,DPHS,,,DT4P
,C24-A,GR1,AHSC,AO20,ILM2,AHO60,PEFSA,HNPS,DPHZ,,,DT4P_C
,C24H,GR-1A,AHSF,AORX,ILM4,AHO90,PEFZ,HNPSS,DPHZSS,,,DT5
,C24I,GR2,SPA_,ASF10,IM,AHT60,PEQH,HTNP,DPO,,,DTC
,C24L,GR-5A,SP_S,ASF20,IMER,AHT90,SPEF,HTNP_SAN,DPOR,,,DTC1
,C24M,GRA,,ASFI,IMPH,AHTRT,HPEF,NCN,DPRS,,,DTC2
,C24P,GR-A,,ASFL,IMVR,AILD,HPEF,NCNL,DPS8,,,DTCA
,C24Z,GRC,,ASN,LLS,AIT,PEFI,NPHI,DPSS,,,DTCM
,CA,GRCO,,ASO10,M0R3,AIT120,PEFI,NPHI_SAN,DPSZ,,,DTCO
,CA1,GRDA,,ASO20,M1R3,AIT60,PEFL,NPHIS,HDPH,,,DTCR
,CA2,GRDE,,AST10,M2R3,AIT90,PEFL,NPHS,HDPH_SAN,,,DTCX
,CADE,GRDI,,AST20,M4R3,AO12,LPE,NPOR,HDPH8,,,DTL
